"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
2;"SW1";"SW_SPDT_PCM12";1;"SW_SPDT";;;
3;"H4,H3,H2,H1";"MountingHole_2.2mm_M2";4;"MountingHole";;;
4;"Y1";"Crystal_SMD_0603-4Pin_6.0x3.5mm";1;"16MHz";;;
5;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8T6";;;
6;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
7;"R5,R4,R3,R1";"R_0402_1005Metric";4;"1k5";;;
8;"R2";"R_0402_1005Metric";1;"10k";;;
9;"J4,J3,J2";"PinHeader_1x04_P2.54mm_Vertical";3;"Conn_01x04_Male";;;
10;"FB1";"L_0603_1608Metric";1;"Ferrite_Bead";;;
11;"D1";"LED_0603_1608Metric";1;"RED";;;
12;"C13,C12";"C_0402_1005Metric";2;"10p";;;
13;"C11,C7,C6,C5,C4";"C_0402_1005Metric";5;"100n";;;
14;"C10,C9";"C_0402_1005Metric";2;"1u";;;
15;"C8";"C_0402_1005Metric";1;"10u";;;
16;"C3";"C_0603_1608Metric";1;"10u";;;
17;"C2,C1";"C_0805_2012Metric";2;"22u";;;
